YEAR,MO,DY,Radiation2
1985,6,26,361.6666667
1985,6,27,364.5833333
1985,6,28,367.5
1985,6,29,346.25
1985,6,30,350
1985,7,1,342.9166667
1985,7,2,329.5833333
1985,7,3,344.5833333
1985,7,4,338.75
1985,7,5,327.9166667
1985,7,6,342.0833333
1985,7,7,354.1666667
1985,7,8,333.75
1985,7,9,335.4166667
1985,7,10,347.9166667
1985,7,11,351.6666667
1985,7,12,342.9166667
1985,7,13,347.0833333
1985,7,14,343.75
1985,7,15,337.9166667
1985,7,16,317.5
1985,7,17,320
1985,7,18,325.4166667
1985,7,19,329.1666667
1985,7,20,344.1666667
1985,7,21,338.75
1985,7,22,335.4166667
1985,7,23,328.75
1985,7,24,325.4166667
1985,7,25,344.1666667
1985,7,26,337.5
1985,7,27,343.75
1985,7,28,340
1985,7,29,333.75
1985,7,30,333.3333333
1985,7,31,334.1666667
1985,8,1,322.0833333
1985,8,2,326.25
1985,8,3,311.25
1985,8,4,305.4166667
1985,8,5,276.6666667
1985,8,6,250
1985,8,7,312.5
1985,8,8,304.1666667
1985,8,9,311.6666667
1985,8,10,328.3333333
1985,8,11,316.6666667
1985,8,12,319.5833333
1985,8,13,268.3333333
1985,8,14,168.3333333
1985,8,15,219.1666667
1985,8,16,270.8333333
1985,8,17,236.25
1985,8,18,272.5
1985,8,19,289.5833333
1985,8,20,302.9166667
1985,8,21,286.6666667
1985,8,22,307.0833333
1985,8,23,307.0833333
1985,8,24,296.25
1985,8,25,290
1985,8,26,289.5833333
1985,8,27,286.6666667
1985,8,28,275
1985,8,29,257.0833333
1985,8,30,274.1666667
1985,8,31,268.75
1985,9,1,262.0833333
1985,9,2,240
1985,9,3,270.8333333
1985,9,4,269.5833333
1985,9,5,279.5833333
1985,9,6,277.0833333
1985,9,7,274.1666667
1985,9,8,262.0833333
1985,9,9,272.5
1985,9,10,269.5833333
1985,9,11,269.5833333
1985,9,12,240
1985,9,13,245.8333333
1985,9,14,232.9166667
1985,9,15,226.25
1985,9,16,236.25
1985,9,17,243.75
1985,9,18,259.5833333
1985,9,19,264.1666667
1985,9,20,263.75
1985,9,21,270
1985,9,22,255
1985,9,23,242.0833333
1985,9,24,228.3333333
1985,9,25,209.1666667
1985,9,26,224.1666667
1985,9,27,216.25
1985,9,28,190.8333333
1985,9,29,190.8333333
1985,9,30,202.5
1985,10,1,214.5833333
1985,10,2,239.1666667
1985,10,3,235.4166667
1985,10,4,231.25
1985,10,5,227.0833333
1985,10,6,204.5833333
1985,10,7,205.8333333
1985,10,8,162.5
1985,10,9,193.75
1985,10,10,180.4166667
1985,10,11,208.3333333
1985,10,12,186.6666667
1985,10,13,207.5
1985,10,14,204.5833333
1985,10,15,174.1666667
1985,10,16,161.6666667
1985,10,17,52.08333333
1985,10,18,63.33333333
1985,10,19,104.1666667
1985,10,20,161.6666667
1985,10,21,177.5
1985,10,22,197.0833333
1985,10,23,193.75
1985,10,24,189.5833333
1985,10,25,140
1985,10,26,176.6666667
1985,10,27,132.5
1985,10,28,147.5
1985,10,29,183.3333333
1985,10,30,176.6666667
1985,10,31,180.4166667
1985,11,1,169.1666667
1985,11,2,165.4166667
1985,11,3,156.6666667
1985,11,4,137.9166667
1985,11,5,121.6666667
1985,11,6,62.5
1985,11,7,87.91666667
1985,11,8,34.58333333
1985,11,9,89.16666667
1985,11,10,97.08333333
1985,11,11,152.0833333
1985,11,12,161.25
1985,11,13,154.5833333
1985,11,14,148.3333333
1985,11,15,122.5
1985,11,16,127.5
1985,11,17,147.0833333
1985,11,18,114.5833333
1985,11,19,122.0833333
1985,11,20,125.8333333
1985,11,21,122.5
1985,11,22,137.0833333
1985,11,23,120.4166667
1985,11,24,115.8333333
1985,11,25,62.08333333
1985,11,26,92.91666667
1985,11,27,105.8333333
1985,11,28,109.1666667
1985,11,29,110.8333333
1985,11,30,110.8333333
1985,12,1,141.6666667
1985,12,2,90
1985,12,3,102.9166667
1985,12,4,122.9166667
1985,12,5,126.25
1985,12,6,116.6666667
1985,12,7,105
1985,12,8,128.75
1985,12,9,114.5833333
1985,12,10,82.08333333
1985,12,11,119.5833333
1985,12,12,120.8333333
1985,12,13,89.58333333
1985,12,14,117.5
1985,12,15,113.3333333
1985,12,16,127.5
1985,12,17,83.33333333
1985,12,18,121.25
1985,12,19,117.0833333
1985,12,20,113.75
1985,12,21,21.66666667
1985,12,22,68.75
1985,12,23,61.25
1985,12,24,89.58333333
1985,12,25,92.5
1985,12,26,97.08333333
1985,12,27,107.9166667
1985,12,28,123.3333333
1985,12,29,114.5833333
1985,12,30,88.33333333
1985,12,31,104.1666667
1986,1,1,55.83333333
1986,1,2,52.91666667
1986,1,3,122.9166667
1986,1,4,111.25
1986,1,5,114.5833333
1986,1,6,99.16666667
1986,1,7,67.08333333
1986,1,8,102.9166667
1986,1,9,123.3333333
1986,1,10,36.66666667
1986,1,11,58.75
1986,1,12,142.0833333
1986,1,13,35.41666667
1986,1,14,112.9166667
1986,1,15,147.0833333
1986,1,16,45.41666667
1986,1,17,87.08333333
1986,1,18,124.5833333
1986,1,19,139.1666667
1986,1,20,150
1986,1,21,45.83333333
1986,1,22,156.6666667
1986,1,23,158.3333333
1986,1,24,160
1986,1,25,157.9166667
1986,1,26,147.9166667
1986,1,27,158.75
1986,1,28,122.9166667
1986,1,29,75.41666667
1986,1,30,90
1986,1,31,157.5
1986,2,1,171.25
1986,2,2,120
1986,2,3,100.8333333
1986,2,4,161.6666667
1986,2,5,22.08333333
1986,2,6,154.5833333
1986,2,7,137.0833333
1986,2,8,59.16666667
1986,2,9,141.25
1986,2,10,101.25
1986,2,11,160.4166667
1986,2,12,159.5833333
1986,2,13,130
1986,2,14,92.5
1986,2,15,180.8333333
1986,2,16,123.3333333
1986,2,17,97.08333333
1986,2,18,184.1666667
1986,2,19,184.1666667
1986,2,20,195
1986,2,21,194.5833333
1986,2,22,198.3333333
1986,2,23,105.4166667
1986,2,24,187.9166667
1986,2,25,187.9166667
1986,2,26,167.0833333
